Address,cost_for_two,cuisins,featured_IN,hours,location,ratings,restaurantName,restaurantType
"[u' 147 Manas Nagar, Shahganj, Agra']",Rs. 150,"Fast Food, Italian", , 10:30am 12:30pm Mon Sn  ,[u'Shahganj'],"3.8-(57),4.3-(629)",VSMaggiePoint,[u'Quick Bites']
"[u' Howard Plaza-The Fern, Fatehabad Road, Agra']","Rs. 1,500","Cafe, Chinese, Continental, Indian", , 6pm 12:30am Mon Fri  1pm 12:30am Sat Sn  ,[u'Tajganj'],"3.6-(50 Reviews),---",Glassy,"[u'Caf\xe9,Lounge']"
"[u' Near Ajanta Sweets, Nani Studio, Kamla Nagar, Agra']",Rs. 200,North Indian, , 6pm 11pm Mon Sn  ,[u'Kamla Nagar'],"3.9-(758 Reviews),---",DRFoodPlaza,[u'Quick Bites']
"[u' Opposite ITC Mughal, Fatehabad Road, Tajganj, Agra']",Rs. 400,"Cafe, Chinese, Continental", , 9am 11:30pm Mon Sn  ,[u'Tajganj'],"3.9-(78),3.7-(887)",HungerPointCafeandBakers,"[u'Quick Bites,Caf\xe9']"
"[u' F 360/1, Under Ground 2, Singhal Square Kamla Nagar, Agra']",Rs. 200,"Beverages, Fast Food", , 11am 10:15pm Mon Sn  ,[u'Kamla Nagar'],"3.9-(80),3.9-(29)",Shayhub,"[u'Quick Bites,Beverage Shop']"
"[u' TP Nagar ISBT, Sikandra, Agra']",Rs. 200,North Indian, , 10am 11pm Mon Sn  ,[u'Sikandra'],"4.1-(92),4.1-(2,458)",ShivBhojnalaya,[u'Quick Bites']
[u' khasra no 145 albatiya shahganj agra '],Rs. 200,"Fast Food, North Indian", , 11am 11pm Mon Sn  ,[u'Shahganj'],"3.4-(74),4.1-(2,350)",BajrangRestaurantAndDairy,[u'Quick Bites']
"[u' 1st Floor, Arvind Innov 8, Opposite Hotel Trident, Tajganj, Agra']",Rs. 800,"North Indian, South Indian, European, Chinese, Italian", , 12noon 11pm Mon Sn  ,[u'Tajganj'],"3.9-(48),3.7-(99)",CulinaryJunctionByUdupi,[u'Casual Dining']
"[u' Shop number 13-4, Sector 12A, Satyam Complex, Awas Vikash Colony, Sikandra, Agra, Agra']",Rs. 600,"North Indian, Chinese", , 12noon 10:50pm Mon Sn  ,[u'Sikandra'],"3.8-(66),4.0-(739)",DsFamilyRestaurant,[u'Casual Dining']
"[u' Near Labbaik Chicken Corner, Civil Lines']",Rs. 250,North Indian, , 11am 10pm Mon Sn  ,[u'Civil Lines'],"3.8-(58),4.1-(796)",AmritsariTandooriKulchaWaChoorChoorNaan,[u'Quick Bites']
"[u' Shop 14, Ground Floor, Block 34, Sanjay Place, Nagar Nigam, Civil Lines, Agra']",Rs. 400,"Cafe, Burger, Sandwich, Fast Food, Beverages, Desserts", , 10am 8pm Mon Sn  ,[u'Civil Lines'],"3.7-(88),4.1-(298)",BlackHorse,[u'Caf\xe9']
"[u' Trident Hotel, Fatehabad Road, Tajganj, Agra']","Rs. 2,000","North Indian, Chinese, Continental",All Day Dining, 6am 10:30pm Mon Sn  ,"[u'Trident Hotel, Tajganj']","4.0-(61 Reviews),---",TheRestaurantTridentHotel,[u'Fine Dining']
"[u' B-186, Central Bank Road, Kamla Nagar, Agra']","Rs. 1,000",North Indian, , 24Hors Mon Sn  ,[u'Kamla Nagar'],"3.9-(125 Reviews),---",ParklaneHotelRestaurant,[u'Casual Dining']
"[u' Carriappa Road, Baluganj, Agra']",Rs. 500,"North Indian, South Indian, Chinese, Continental",Trending This Week, 11am 6pm Mon Fri  12noon 9pm Sat Sn  ,[u'Rakabganj'],"3.4-(65),3.9-(90)",TheGreensRestaurantHerbalCafe,[u'Casual Dining']
