,restaurantID,Address,cost_for_two,cuisins,featured_IN,hours,location,ratings,restaurantName,restaurantType
0,3401013,"[u' 62/1, Near Easy Day, West Shivaji Nagar, Goalpura, Shahganj']",Rs. 300,"Fast Food, Mithai",Must Visit Restaurants In Agra, 9:30am 11pm Mon Sn  ,[u'Shahganj'],"4.2-(1,066),4.2-(33.2K)",BhagatHalwai,"[u'Quick Bites,Sweet Shop']"
1,3400299,"[u' Kalyani Point, Near Tulsi Cinema, Bypass Road, Khandari, Agra']",Rs. 700,"North Indian, South Indian, Mithai, Street Food, Desserts, Chinese, Bakery, Pizza",-, 8:30am 10:30pm Mon Sn  ,[u'Khandari'],"4.3-(1,107),4.4-(37.1K)",Bikanervala,[u'Quick Bites']
2,3400279,"[u' 4-5, Ashok Cosmos Mall, Sanjay Place, Civil Lines, Agra']",Rs. 500,"Burger, Fast Food",-, 11am 9pm Mon Sn  ,[u'Civil Lines'],"4.4-(1,220),4.4-(3,443)",McDonalds,[u'Quick Bites']
3,3400290,"[u' Near Anjana Cinema, Nehru Nagar, Civil Lines, Agra']",Rs. 300,"Fast Food, Mithai, Chinese, South Indian, Beverages",Sweet Tooth, 8am 11pm Mon Te Th Fri Sat Sn  8am     ,[u'Civil Lines'],"4.3-(997),4.5-(25.4K)",BhagatHalwai,"[u'Quick Bites,Dessert Parlor']"
4,3400005,"[u' A-17, Shoping Arcade, Sadar Bazaar, Agra Cantt, Agra']",Rs. 600,"North Indian, Mughlai, Rolls, Chinese, Fast Food, Street Food",-, 12midnight 1am 12:30pm 12midnight Mon  1pm    ,[u'Agra Cantt'],"4.4-(1,566),4.2-(25.5K)",MamaChickenMamaFrankyHouse,[u'Quick Bites']
5,3400275,"[u' 114/23 G, Deep Shikha Complex, Sanjay Place, Civil Lines, Agra']",Rs. 400,"Pizza, Fast Food",-, 10:57am 11pm Mon Sn  ,[u'Civil Lines'],"4.2-(859),4.4-(6,377)",DominosPizza,[u'Quick Bites']
6,3400017,"[u' 23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra']","Rs. 1,600","North Indian, Chinese, Mughlai","Must Visit Restaurants In Agra, Best Indian Restaurants, Great Food, No Bull", 12noon 9pm Mon Sn  ,[u'Civil Lines'],"4.7-(1,003),4.2-(3,863)",PinchOfSpice,[u'Casual Dining']
7,3401284,"[u' 23/301, Wazirpura Road, Judge Compound Chowraha, Wazirpura, Civil Lines, Agra']",Rs. 500,"Bakery, Fast Food",-, 9am 9pm Mon Sn  ,[u'Civil Lines'],"3.9-(527),3.5-(25.6K)",CakeHouse,[u'Bakery']
8,3400282,"[u' 26/118, Opposite Income Tax Building, Sanjay Place, Civil Lines, Agra']",Rs. 700,"North Indian, South Indian, Chinese, Bakery, Continental",-, 10am 11pm Mon Sn  ,[u'Civil Lines'],"4.1-(595),4.2-(12.7K)",Aahar,[u'Casual Dining']
9,3400297,"[u' Heera Bagh, Khel Gaon, Dayal Bagh, Agra']",Rs. 250,"Chinese, Mithai, South Indian, Pizza, Burger, Bakery, Beverages",-, 8am 10:30pm Mon Sn  ,[u'Dayal Bagh'],"4.1-(573),4.2-(11.3K)",BhagatHalwai,"[u'Quick Bites,Sweet Shop']"
10,3400457,"[u' 1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra']",Rs. 300,North Indian,Trending This Week, 12noon 12midnight Mon Sn  ,[u'Civil Lines'],"4.3-(579),4.2-(11.3K)",YadavDhabaPurana,[u'Dhaba']
11,3400868,"[u' 6/27/1A, Hotel Alleviate, Yamuna Kinara Road, Belanganj, Civil Lines, Agra']","Rs. 1,200","Continental, North Indian, Chinese","Rooftops, Great Food, No Bull", 11:30am 10:30am Mon Sn  ,[u'Civil Lines'],"4.5-(734),4.1-(1,985)",Hichkee,[u'Casual Dining']
12,3400326,"[u' 18/159D, Hotel M House, Fatehabad Road, Near Purani Mandi, Tajganj, Agra']","Rs. 1,000","Chinese, Italian, Continental, North Indian","Great Food, No Bull", 12noon 11:30pm Mon Sn  ,[u'Tajganj'],"4.6-(944),3.5-(671)",TeaseMeRooftopTeaBoutique,[u'Casual Dining']
13,3400469,"[u' Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra']",Rs. 250,North Indian,-, 10:30am 11pm Mon Sn  ,[u'Civil Lines'],"4.3-(493),4.3-(9,717)",PapaJiDaDhaba,[u'Dhaba']
14,3400105,"[u' 8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra']",Rs. 600,"Pizza, Fast Food, Finger Food, American",-, 11am 11pm Mon Sn  ,[u'Tajganj'],"4.3-(693),4.1-(2,456)",PizzaHut,"[u'Casual Dining,Caf\xe9']"
15,3400469,"[u' Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra']",Rs. 250,North Indian,-, 10:30am 11pm Mon Sn  ,[u'Civil Lines'],"4.3-(493),4.3-(9,718)",PapaJiDaDhaba,[u'Dhaba']
16,3400105,"[u' 8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra']",Rs. 600,"Pizza, Fast Food, Finger Food, American",-, 11am 11pm Mon Sn  ,[u'Tajganj'],"4.3-(693),4.1-(2,457)",PizzaHut,"[u'Casual Dining,Caf\xe9']"
17,3400296,"[u' Opposite Soami Bagh Temple, Dayal Bagh, Agra']",Rs. 500,"North Indian, Fast Food, Chinese, South Indian","Great Food, No Bull", 11am 11pm Mon Sn  ,[u'Dayal Bagh'],"4.5-(833),4.0-(13.5K)",HoneydewRestaurant,[u'Quick Bites']
18,3400010,"[u' Crystal Tower, Fatehabad Road, Tajganj, Agra']",Rs. 400,"Desserts, North Indian, South Indian, Chinese, Fast Food, Street Food",-, 8am 11pm Mon Sn  ,[u'Tajganj'],"4.1-(479),4.0-(12.3K)",GMBGopikaSweetsRestaurant,[u'Casual Dining']
19,3400021,"[u' 1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra']",Rs. 400,Rajasthani,"Great Food, No Bull", 11am 4pm 6:30pm 8:30pm Mon Sn  ,[u'Civil Lines'],"4.5-(583),4.4-(3,186)",ChokhoJeemanMarwariJainBhojanalya,[u'Casual Dining']
20,3401492,"[u' Daresi Road, Jama Masjid, Kinari Bazar, Sheb Bazar, Mantola, Agra']",Rs. 150,"North Indian, Street Food, Mithai",-, 7am 10pm Mon Sn  ,[u'Mantola'],"4.1-(421),4.1-(16.8K)",ChimmanlalPuriWale,[u'Quick Bites']
21,3400475,"[u' Deepshikha Building, Wazirpura tRoad, Sanjay Place, Civil Lines, Agra']",Rs. 600,"North Indian, Chinese, Rolls, Beverages",-, 1:05pm 10:50pm Mon Sn  ,[u'Civil Lines'],"4.1-(491),4.2-(9,679)",AmritsariKulchaJunction,[u'Quick Bites']
22,3401611,"[u' 3, Daresi, Near Pathhar Mandi, Mantola, Agra']",Rs. 200,"Fast Food, Chinese",-, 11am 12midnight Mon Sn  ,[u'Mantola'],"4.1-(390),4.1-(19.3K)",BhadawarHotel,[u'Quick Bites']
23,3400238,"[u' Shop 8, Railway Market, Station Road, Near Agra Cantt Railway Station, Agra Cantt, Agra']",Rs. 400,North Indian,-, 11am 3:30am Mon Sn  ,[u'Agra Cantt'],"4.0-(392),4.0-(10.5K)",SardarJiDaDhaba,"[u'Casual Dining,Dhaba']"
24,3401167,"[u' 1/1-12, Avas Vikas Complex, City Mall, Balkeshwar Colony, Kamla Nagar, Agra']",Rs. 400,"Momos, Chinese, Beverages",-, 12noon 11:30pm Mon Sn  ,[u'Kamla Nagar'],"4.4-(351),3.9-(7,099)",TheMomoCorner,[u'Quick Bites']
25,3400016,"[u' Opposite Saga Emporium, Fatehabad Road, Tajganj, Agra']","Rs. 1,100","North Indian, Mughlai","Wah Taj!, Best Indian Restaurants, Must Visit Restaurants In Agra, All-Day Dining", 8am 2am Mon Sn  ,[u'Tajganj'],"4.1-(535),4.0-(1,010)",PindBalluchi,[u'Casual Dining']
